#time	counts
0	4.57771E-05
0.0122216	0
0.0244432	0
0.0366648	0
0.0488864	0
0.061108	0
0.0733296	0
0.0855512	0
0.0977728	0
0.1099944	0
0.122216	0
0.1344376	0
0.1466592	0
0.1588808	0
0.1711024	0
0.183324	0
0.1955456	0
0.2077672	0
0.2199888	0
0.2322104	0
0.244432	0
0.2566536	0
0.2688752	0
0.2810968	0
0.2933184	0
0.30554	0
0.3177616	0
0.3299832	0
0.3422048	0
0.3544264	0
0.366648	0
0.3788696	0
0.3910912	0
0.4033128	0
0.4155344	0
0.427756	0
0.4399776	0
0.4521992	0
0.4644208	0
0.4766424	0
0.488864	0
0.5010856	1.5259E-05
0.5133072	0
0.5255288	0
0.5377504	6.10361E-05
0.549972	0
0.5621936	0
0.5744152	0
0.5866368	0
0.5988584	0
0.61108	1.5259E-05
0.6233016	0
0.6355232	0
0.6477448	0
0.6599664	0
0.672188	1.5259E-05
0.6844096	1.5259E-05
0.6966312	0
0.7088528	0
0.7210744	0
0.733296	0
0.7455176	0
0.7577392	1.5259E-05
0.7699608	0
0.7821824	0
0.794404	1.5259E-05
0.8066256	1.5259E-05
0.8188472	0
0.8310688	1.5259E-05
0.8432904	1.5259E-05
0.855512	0
0.8677336	0
0.8799552	1.5259E-05
0.8921768	0
0.9043984	1.5259E-05
0.91662	1.5259E-05
0.9288416	1.5259E-05
0.9410632	0
0.9532848	1.5259E-05
0.9655064	1.5259E-05
0.977728	0
0.9899496	0
1.0021712	0
1.0143928	0
1.0266144	1.5259E-05
1.038836	1.5259E-05
1.0510576	0
1.0632792	1.5259E-05
1.0755008	0
1.0877224	0
1.099944	0
1.1121656	0
1.1243872	1.5259E-05
1.1366088	0
1.1488304	0
1.161052	0
1.1732736	0
1.1854952	0
1.1977168	0
1.2099384	3.0518E-05
1.22216	0
1.2343816	1.5259E-05
1.2466032	0
1.2588248	0
1.2710464	3.0518E-05
1.283268	1.5259E-05
1.2954896	1.5259E-05
1.3077112	1.5259E-05
1.3199328	3.0518E-05
1.3321544	0
1.344376	0
1.3565976	0
1.3688192	1.5259E-05
1.3810408	0
1.3932624	0
1.405484	1.5259E-05
1.4177056	0
1.4299272	0
1.4421488	1.5259E-05
1.4543704	1.5259E-05
1.466592	1.5259E-05
1.4788136	1.5259E-05
1.4910352	1.5259E-05
1.5032568	0
1.5154784	1.5259E-05
1.5277	0
1.5399216	3.0518E-05
1.5521432	0
1.5643648	0
1.5765864	1.5259E-05
1.588808	1.5259E-05
1.6010296	3.0518E-05
1.6132512	1.5259E-05
1.6254728	0
1.6376944	0
1.649916	4.57771E-05
1.6621376	1.5259E-05
1.6743592	1.5259E-05
1.6865808	6.10361E-05
1.6988024	3.0518E-05
1.711024	1.5259E-05
1.7232456	0
1.7354672	0
1.7476888	3.0518E-05
1.7599104	1.5259E-05
1.772132	1.5259E-05
1.7843536	0
1.7965752	0
1.8087968	1.5259E-05
1.8210184	1.5259E-05
1.83324	0
1.8454616	1.5259E-05
1.8576832	0
1.8699048	1.5259E-05
1.8821264	1.5259E-05
1.894348	0
1.9065696	1.5259E-05
1.9187912	1.5259E-05
1.9310128	0
1.9432344	1.5259E-05
1.955456	0
1.9676776	1.5259E-05
1.9798992	0
1.9921208	0
2.0043424	3.0518E-05
2.016564	1.5259E-05
2.0287856	0
2.0410072	1.5259E-05
2.0532288	0
2.0654504	0
2.077672	0
2.0898936	1.5259E-05
2.1021152	0
